
Distribution r(n); n<10^4.


Obtained (r(n), total n) :
   (0: 4257), (>0: 5742), (1: 4995), (2: 747).

Where the sum of 0 and even values is almost equal 
to that of odd values, as conjectured.

Notes:
a, b : number of solutions to each eqn.
m, q : m=(a mod b); q=(a / b) as rational number.

r(n)     n   a   b   m   q  core(n)
-----------------------------------
   0     1   2   2   0   1     1
   0     2   2   2   0   1     2
   0     3   4   4   0   1     3
   0     4   2   2   0   1     1
   1     5   0   0  -1  -1     5
   1     6   0   0  -1  -1     6
   1     7   0   0  -1  -1     7
   0     8   2   2   0   1     2
   0     9   2   2   0   1     1
   0    10   4   4   0   1    10
   0    11  12   4   0   3    11
   0    12   4   4   0   1     3
   1    13   0   0  -1  -1    13
   1    14   0   0  -1  -1    14
   1    15   0   0  -1  -1    15
   0    16   2   2   0   1     1
   0    17  16   4   0   4    17
   0    18   2   2   0   1     2
   0    19  12   4   0   3    19
   1    20   0   0  -1  -1     5
   1    21   0   0  -1  -1    21
   1    22   0   0  -1  -1    22
   1    23   0   0  -1  -1    23
   1    24   0   0  -1  -1     6
   0    25   2   2   0   1     1
   0    26  12   4   0   3    26
   0    27   4   4   0   1     3
   1    28   0   0  -1  -1     7
   1    29   0   0  -1  -1    29
   1    30   0   0  -1  -1    30
   1    31   0   0  -1  -1    31
   0    32   2   2   0   1     2
   0    33  16  12   4  -1    33
   2    34   8   4   0   2    34
   0    35  24   8   0   3    35
   0    36   2   2   0   1     1
   1    37   0   0  -1  -1    37
   1    38   0   0  -1  -1    38
   1    39   0   0  -1  -1    39
   0    40   4   4   0   1    10
   2    41  32  16   0   2    41
   0    42   8   0  -1  -1    42
   0    43  12  12   0   1    43
   0    44  12   4   0   3    11
   1    45   0   0  -1  -1     5
   1    46   0   0  -1  -1    46
   1    47   0   0  -1  -1    47
   0    48   4   4   0   1     3
   0    49   2   2   0   1     1
   0    50   2   2   0   1     2
   0    51  24  16   8  -1    51
   1    52   0   0  -1  -1    13
   1    53   0   0  -1  -1    53
   1    54   0   0  -1  -1     6
   1    55   0   0  -1  -1    55
   1    56   0   0  -1  -1    14
   0    57  16  12   4  -1    57
   0    58   4   4   0   1    58
   0    59  36  20  16  -1    59
   1    60   0   0  -1  -1    15
   1    61   0   0  -1  -1    61
   1    62   0   0  -1  -1    62
   1    63   0   0  -1  -1     7
   0    64   2   2   0   1     1
   2    65  32  16   0   2    65
   0    66  16   4   0   4    66
   0    67  12   4   0   3    67
   0    68  16   4   0   4    17
   1    69   0   0  -1  -1    69
   1    70   0   0  -1  -1    70
   1    71   0   0  -1  -1    71
   0    72   2   2   0   1     2
   0    73  16  12   4  -1    73
   0    74  20  12   8  -1    74
   0    75   4   4   0   1     3
   0    76  12   4   0   3    19
   1    77   0   0  -1  -1    77
   1    78   0   0  -1  -1    78
   1    79   0   0  -1  -1    79
   1    80   0   0  -1  -1     5
   0    81   2   2   0   1     1
   0    82   8   8   0   1    82
   0    83  36  20  16  -1    83
   1    84   0   0  -1  -1    21
   1    85   0   0  -1  -1    85
   1    86   0   0  -1  -1    86
   1    87   0   0  -1  -1    87
   1    88   0   0  -1  -1    22
   0    89  48  20   8  -1    89
   0    90   4   4   0   1    10
   0    91  24   8   0   3    91
   1    92   0   0  -1  -1    23
   1    93   0   0  -1  -1    93
   1    94   0   0  -1  -1    94
   1    95   0   0  -1  -1    95
   1    96   0   0  -1  -1     6
   0    97  16   4   0   4    97
   0    98   2   2   0   1     2
   0    99  12   4   0   3    11
   0   100   2   2   0   1     1
   
   0   130   8   8   0   1   130
   0   131  60  36  24  -1   131
   0   132  16  12   4  -1    33
   1   133   0   0  -1  -1   133
   1   134   0   0  -1  -1   134
   1   135   0   0  -1  -1    15
   2   136   8   4   0   2    34
   2   137  32  16   0   2   137
   2   138  16   8   0   2   138
   0   139  36  20  16  -1   139
   
   1   150   0   0  -1  -1     6
   1   151   0   0  -1  -1   151
   1   152   0   0  -1  -1    38
   0   153  16   4   0   4    17
   2   154  16   8   0   2   154
   0   155  48  32  16  -1   155
   1   156   0   0  -1  -1    39
   1   157   0   0  -1  -1   157
   1   158   0   0  -1  -1   158
   1   159   0   0  -1  -1   159

   0   160   4   4   0   1    10
   2   161  64  32   0   2   161
   0   162   2   2   0   1     2
   0   163  12  12   0   1   163
   2   164  32  16   0   2    41
   1   165   0   0  -1  -1   165
   1   166   0   0  -1  -1   166
   1   167   0   0  -1  -1   167
   0   168   8   0  -1  -1    42
   0   169   2   2   0   1     1

   0  1250   2   2   0   1     2
   0  1251  36  20  16  -1   139
   2  1252  32  16   0   2   313
   1  1253   0   0  -1  -1  1253
   1  1254   0   0  -1  -1  1254
   1  1255   0   0  -1  -1  1255
   0  1256  52  28  24  -1   314
   0  1257  80  60  20  -1  1257
   0  1258  24  16   8  -1  1258
   0  1259 180  92  88  -1  1259
 
   1  9990   0   0  -1  -1  1110
   1  9991   0   0  -1  -1  9991
   0  9992  80  32  16  -1  2498
   0  9993 208  92  24  -1  9993
   0  9994 184  96  88  -1  9994
   0  9995 480 224  32  -1  9995
   0  9996  24  16   8  -1    51
   1  9997   0   0  -1  -1  9997
   1  9998   0   0  -1  -1  9998
   1  9999   0   0  -1  -1  1111

