Mordell curves
y^2 = x^3 + n

rank 5. +150 terms
------------------
 66265 5
 81077 5 
 94636 5 
107557 5 
143069 5 
172252 5 
173944 5 
201162 5 
206776 5 
214028 5 
214712 5 
250729 5 
250748 5 
256859 5 
259261 5 
265217 5 
290879 5 
329533 5 
331873 5 
333656 5 
342853 5 
343841 5 
349665 5 
357479 5 
358737 5 
380473 5 
402131 5 
405149 5 
415432 5 
434345 5 
435193 5 
435270 5 
459964 5
467349 5
483017 5
490934 5
492117 5
494236 5
498093 5
505178 5
512144 5
519515 5
526361 5
527068 5
531457 5
534824 5
542949 5
546269 5
551293 5
551384 5
551692 5
552392 5
555089 5
564469 5
572687 5
597068 5
608721 5
609449 5
610982 5
621365 5
626264 5
635909 5
636632 5
641021 5
645734 5
656132 5
678137 5
681276 5
685072 5
688654 5
741749 5
743045 5
747496 5
763533 5
769641 5
779073 5
798757 5
801069 5
801368 5
804373 5
805073 5
830221 5
831484 5
840511 5
857531 5
863711 5
869039 5
879845 5
885025 5
886355 5
888477 5
894677 5
902926 5
911961 5
914194 5
952369 5
952961 5
957484 5
960361 5
964357 5
964589 5
968353 5
980108 5
994001 5
994008 5
1000016 5
1011356 5
1018018 5
1018769 5
1023657 5
1023849 5
1030402 5
1034757 5
1047406 5
1058156 5
1063324 5
1070819 5
1079529 5
1084497 5
1086109 5
1092442 5
1093816 5
1104391 5
1109741 5
1123475 5
1145889 5
1147057 5
1147973 5
1150732 5
1153213 5
1157264 5
1172312 5
1177305 5
1179866 5
1183869 5
1184389 5
1187637 5
1190386 5
1192780 5
1193788 5
1197113 5
1201217 5
1202680 5
1211752 5
1221575 5
1221649 5
1222009 5
1227417 5
1227880 5
1261954 5
1275577 5
1277701 5
1280275 5
1290697 5
1291561 5
1294687 5
1298769 5
1300577 5
1302773 5
1308952 5
1317877 5
1324774 5
1335736 5
2146705 5
2685445 5
2802835 5
3333547 5
4234538 5
---------
