

2066 n rank 2, n<29264

TT. test: r(    34) = 2 cntrs(a= 8, b= 4) (a/b)= 2 core= 34
TT. test: r(    41) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 41
TT. test: r(    65) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 65
TT. test: r(   136) = 2 cntrs(a= 8, b= 4) (a/b)= 2 core= 34
TT. test: r(   137) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 137
TT. test: r(   138) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 138
TT. test: r(   145) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 145
TT. test: r(   154) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 154
TT. test: r(   161) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 161
TT. test: r(   164) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 41
TT. test: r(   194) = 2 cntrs(a= 40, b= 20) (a/b)= 2 core= 194
TT. test: r(   210) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 210
TT. test: r(   219) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 219
TT. test: r(   226) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 226
TT. test: r(   257) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 257
TT. test: r(   260) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 65
TT. test: r(   265) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 265
TT. test: r(   291) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 291
TT. test: r(   299) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 299
TT. test: r(   306) = 2 cntrs(a= 8, b= 4) (a/b)= 2 core= 34
TT. test: r(   313) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 313
TT. test: r(   323) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 323
TT. test: r(   330) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 330
TT. test: r(   353) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 353
TT. test: r(   369) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 41
TT. test: r(   371) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 371
TT. test: r(   386) = 2 cntrs(a= 40, b= 20) (a/b)= 2 core= 386
TT. test: r(   395) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 395
TT. test: r(   410) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 410
TT. test: r(   426) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 426
TT. test: r(   434) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 434
TT. test: r(   442) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 442
TT. test: r(   457) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 457
TT. test: r(   465) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 465
TT. test: r(   505) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 505
TT. test: r(   514) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 514
TT. test: r(   544) = 2 cntrs(a= 8, b= 4) (a/b)= 2 core= 34
TT. test: r(   546) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 546
TT. test: r(   548) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 137
TT. test: r(   552) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 138
TT. test: r(   561) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 561
TT. test: r(   580) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 145
TT. test: r(   585) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 65
TT. test: r(   602) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 602
TT. test: r(   609) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 609
TT. test: r(   616) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 154
TT. test: r(   644) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 161
TT. test: r(   651) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 651
TT. test: r(   656) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 41
TT. test: r(   658) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 658
TT. test: r(   674) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 674
TT. test: r(   689) = 2 cntrs(a= 160, b= 80) (a/b)= 2 core= 689
TT. test: r(   721) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 721
TT. test: r(   723) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 723
TT. test: r(   731) = 2 cntrs(a= 144, b= 72) (a/b)= 2 core= 731
TT. test: r(   761) = 2 cntrs(a= 160, b= 80) (a/b)= 2 core= 761
TT. test: r(   776) = 2 cntrs(a= 40, b= 20) (a/b)= 2 core= 194
TT. test: r(   777) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 777
TT. test: r(   793) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 793
TT. test: r(   840) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 210
TT. test: r(   850) = 2 cntrs(a= 8, b= 4) (a/b)= 2 core= 34
TT. test: r(   866) = 2 cntrs(a= 88, b= 44) (a/b)= 2 core= 866
TT. test: r(   876) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 219
TT. test: r(   889) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 889
TT. test: r(   890) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 890
TT. test: r(   904) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 226
TT. test: r(   905) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 905
TT. test: r(   915) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 915
TT. test: r(   985) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 985
TT. test: r(   987) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 987
TT. test: r(   995) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 995
TT. test: r(  1003) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 1003
TT. test: r(  1025) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 41
TT. test: r(  1028) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 257
TT. test: r(  1040) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 65
TT. test: r(  1057) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 1057
TT. test: r(  1060) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 265
TT. test: r(  1073) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 1073
TT. test: r(  1081) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 1081
TT. test: r(  1105) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 1105
TT. test: r(  1113) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 1113
TT. test: r(  1122) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 1122
TT. test: r(  1131) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 1131
TT. test: r(  1145) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 1145
TT. test: r(  1146) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 1146
TT. test: r(  1154) = 2 cntrs(a= 112, b= 56) (a/b)= 2 core= 1154
TT. test: r(  1155) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 1155
TT. test: r(  1164) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 291
TT. test: r(  1169) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 1169
TT. test: r(  1178) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 1178
TT. test: r(  1185) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 1185
TT. test: r(  1186) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 1186
TT. test: r(  1195) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 1195
TT. test: r(  1196) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 299
TT. test: r(  1201) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 1201
TT. test: r(  1217) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 1217
TT. test: r(  1224) = 2 cntrs(a= 8, b= 4) (a/b)= 2 core= 34
TT. test: r(  1233) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 137
TT. test: r(  1241) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 1241
TT. test: r(  1242) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 138
TT. test: r(  1249) = 2 cntrs(a= 128, b= 64) (a/b)= 2 core= 1249
TT. test: r(  1252) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 313
TT. test: r(  1282) = 2 cntrs(a= 24, b= 12) (a/b)= 2 core= 1282
TT. test: r(  1292) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 323
TT. test: r(  1305) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 145
TT. test: r(  1320) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 330
TT. test: r(  1321) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 1321
TT. test: r(  1330) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 1330
TT. test: r(  1339) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 1339
TT. test: r(  1346) = 2 cntrs(a= 56, b= 28) (a/b)= 2 core= 1346
TT. test: r(  1379) = 2 cntrs(a= 192, b= 96) (a/b)= 2 core= 1379
TT. test: r(  1386) = 2 cntrs(a= 16, b= 8) (a/b)= 2 core= 154
TT. test: r(  1387) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 1387
TT. test: r(  1393) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 1393
TT. test: r(  1411) = 2 cntrs(a= 48, b= 24) (a/b)= 2 core= 1411
TT. test: r(  1412) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 353
TT. test: r(  1419) = 2 cntrs(a= 144, b= 72) (a/b)= 2 core= 1419
TT. test: r(  1434) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 1434
TT. test: r(  1443) = 2 cntrs(a= 96, b= 48) (a/b)= 2 core= 1443
TT. test: r(  1449) = 2 cntrs(a= 64, b= 32) (a/b)= 2 core= 161
TT. test: r(  1476) = 2 cntrs(a= 32, b= 16) (a/b)= 2 core= 41
