fam C [n,-n] rnk 6.
(C)2023.Simon Aranda

r      n
- ------
6   9281  
6  54601  
6  64631  
6  80471  
6  81719  
6  84691  
6 126349 
6 137084 
6 138871 
6 169991 
6 182999 
6 187501 
6 193073 
6 193355 
6 194291 
6 222713 
6 224024 
6 241151 
6 24851x 
6 258431 
6 259111 
6 259421 
6 261644 
6 269489 
6 273521 
6 278825 
6 286684 
6 300581 
6 325611 
6 329533 
6 332171 
6 335984 
6 336911 
6 347537 
6 359792 
6 362951 
6 363839 
6 364505 
6 369624 
6 370987 
6 374099 
6 375549
- ------
