fam [0,-432*n^2] 
(C)Nov2023.Simon Aranda

rank 5, +25 terms, n<5*10^6.
----------------------------

r       n          -432*n^2 
- -------  ----------------
5  489489  -103506975844272 
5  525698  -119386823272128 
5  526535  -119767293889200 
5  763002  -251498326465728 
5  903210  -352420547371200 
5 1423214  -875032454791872 
5 1588620 -1090244233900800 
5 1886852 -1538010922998528 
5 2152934 -2002373917209792 
5 2241441 -2170392950799792 
5 2577185 -2869293250465200 
5 2582431 -2880986343736752 
5 2773897 -3324025972775088 
5 2861430 -3537121670596800 
5 2976190 -3826529387755200 
5 3091110 -4127743165867200 
5 3279211 -4645393106049072 
5 3616639 -5650593547530672 
5 3915912 -6624446454033408 
5 3930234 -6672991375334592 
5 4205584 -7640756689416192 
5 4212280 -7665106808908800 
5 4374249 -8265911463648432 
5 4633804 -9275964268499712 
5 4732026 -9673374267940032 
5 4780230 -9871458704452800 
5 4784137 -9887601672620208 
5 4813839  nc
---------------------------
